VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,GrossMarginPct,SalesToPurchaseRatio,TotalBeginInventory,TotalEndInventory,AvgInventory,InventoryTurnoverRatio
516,"BANFI PRODUCTS CORP        ",18299,"Sartori Family Pnt Nr",360,1983.60,1698.06,360,2876.40,40.50,892.80,31.04,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",18347,"Banfi Pnt Grigio San Angelo",10798,92646.84,58717.94,10202,156530.98,1137.06,63884.14,40.81,0.94,4083,4679,4381.0000,2.33
516,"BANFI PRODUCTS CORP        ",18575,"Sartori Amarone",614,16172.76,10663.65,606,24234.94,67.18,8062.18,33.27,0.99,164,172,168.0000,3.61
516,"BANFI PRODUCTS CORP        ",18734,"Little Black Dress Divalicio",652,3931.56,7333.77,634,5899.66,70.18,1968.10,33.36,0.97,180,198,189.0000,3.35
516,"BANFI PRODUCTS CORP        ",18801,"Bolla Prosecco Extra Dry",1993,14230.02,19402.95,1897,22178.03,210.30,7948.01,35.84,0.95,517,613,565.0000,3.36
516,"BANFI PRODUCTS CORP        ",18807,"C Y Toro Diablo Red",1,7.94,110.68,1,11.99,0.11,4.05,33.78,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",19000,"L'Ardi Dolcetto D'Acqui",304,2024.64,3634.38,333,3777.67,36.80,1753.03,46.41,1.10,283,254,268.5000,1.24
516,"BANFI PRODUCTS CORP        ",19275,"Stones Currant Ginger Flavor",48,342.72,226.31,47,516.53,5.26,173.81,33.65,0.98,12,13,12.5000,3.76
516,"BANFI PRODUCTS CORP        ",19356,"C Y Toro Marques Cs Cab Svgn",733,8979.25,15857.90,802,14994.98,88.93,6015.73,40.12,1.09,228,159,193.5000,4.14
516,"BANFI PRODUCTS CORP        ",20030,"Trivento Rsv Cab Malbec",1259,6534.21,11156.80,1210,12534.40,134.07,6000.19,47.87,0.96,263,312,287.5000,4.21
516,"BANFI PRODUCTS CORP        ",21076,"Natura Pnt Nr",1283,7787.81,13297.74,1291,12455.09,143.51,4667.28,37.47,1.01,375,367,371.0000,3.48
516,"BANFI PRODUCTS CORP        ",21352,"C Y Toro Don Melchr Cab Svgn",149,7840.38,2091.85,103,8250.97,11.46,410.59,4.98,0.69,46,92,69.0000,1.49
516,"BANFI PRODUCTS CORP        ",21517,"Riunite Lambrusco Cuties",475,2403.50,8466.82,468,3645.72,13.70,1242.22,34.07,0.99,66,73,69.5000,6.73
516,"BANFI PRODUCTS CORP        ",22077,"C Y Toro Casa Diablo Chard",606,3678.42,5240.86,728,7148.72,81.10,3470.30,48.54,1.20,333,211,272.0000,2.68
516,"BANFI PRODUCTS CORP        ",22079,"C Y Toro Casa Diblo Cab Svgn",9700,44523.00,64100.93,8665,78070.79,966.11,33547.79,42.97,0.89,1386,2421,1903.5000,4.55
516,"BANFI PRODUCTS CORP        ",22192,"Placido Chianti",1951,14105.73,36148.28,1878,21919.22,419.55,7813.49,35.65,0.96,269,342,305.5000,6.15
516,"BANFI PRODUCTS CORP        ",22194,"Placido Pinot Grigio Venezi",3943,29493.64,74536.59,3930,45344.70,879.77,15851.06,34.96,1.00,635,648,641.5000,6.13
516,"BANFI PRODUCTS CORP        ",22195,"Placido Pinot Grigio Venezi",12,63.96,162.77,12,107.88,1.32,43.92,40.71,1.00,5,5,5.0000,2.40
516,"BANFI PRODUCTS CORP        ",22402,"Aska Bolgheri Rosso",16,309.28,417.43,15,434.85,1.68,125.57,28.88,0.94,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",22404,"La Pettegola Vermentino",18,217.26,486.18,15,269.85,1.68,52.59,19.49,0.83,6,9,7.5000,2.00
516,"BANFI PRODUCTS CORP        ",22789,"Bolla Prosecco 3pk/187mls",8,82.72,135.92,105,1573.95,3.05,1491.23,94.74,13.13,97,0,48.5000,2.16
516,"BANFI PRODUCTS CORP        ",22840,"Banfi Poggio All'Oro Br Mont",20,1677.20,1742.80,25,3755.75,2.79,2078.55,55.34,1.25,42,37,39.5000,0.63
516,"BANFI PRODUCTS CORP        ",22841,"Banfi Poggio Alle Mura Rsva",8,519.44,528.53,18,1876.82,2.00,1357.38,72.32,2.25,33,23,28.0000,0.64
516,"BANFI PRODUCTS CORP        ",22903,"Banfi Sangiovese CollePino",3108,16783.20,30679.51,2906,25937.94,324.12,9154.74,35.29,0.94,266,468,367.0000,7.92
516,"BANFI PRODUCTS CORP        ",23079,"Bolla Torr'Alta Veronese Ros",120,1207.20,1139.70,108,2050.92,12.16,843.72,41.14,0.90,6,18,12.0000,9.00
516,"BANFI PRODUCTS CORP        ",23172,"Castello Banfi Brun Montalcn",175,3570.00,749.62,289,8832.11,16.56,5262.11,59.58,1.65,324,210,267.0000,1.08
516,"BANFI PRODUCTS CORP        ",23200,"Natura Rose",60,483.00,520.31,40,440.60,4.49,-42.40,-9.62,0.67,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",23518,"Bolla Prosecco 2 Pk",24,137.04,226.31,9,79.11,0.53,-57.93,-73.23,0.38,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",23712,"Bell'Agio Chianti Flask",6596,44852.80,62895.82,6594,68464.06,732.77,23611.26,34.49,1.00,975,977,976.0000,6.76
516,"BANFI PRODUCTS CORP        ",23870,"Col-di-Sasso Sangiovese/Cab",2199,13545.84,19879.38,2223,20654.77,247.38,7108.93,34.42,1.01,398,374,386.0000,5.76
516,"BANFI PRODUCTS CORP        ",24672,"Bolla Merlot",315,2674.35,6836.43,316,4383.84,70.44,1709.49,39.00,1.00,104,103,103.5000,3.05
516,"BANFI PRODUCTS CORP        ",24673,"Bolla Pinot Grigio",1711,15330.56,32967.24,1720,23926.80,382.96,8596.24,35.93,1.01,458,449,453.5000,3.79
516,"BANFI PRODUCTS CORP        ",24715,"Banfi Summus Tuscany Red",12,473.64,279.27,48,2902.52,5.34,2428.88,83.68,4.00,36,0,18.0000,2.67
516,"BANFI PRODUCTS CORP        ",24873,"Fontana Candida Pinot Grigi",19,113.81,234.63,14,125.86,1.58,12.05,9.57,0.74,7,12,9.5000,1.47
516,"BANFI PRODUCTS CORP        ",25268,"Cantine Maschio Sparkling Ro",94,793.36,996.17,56,727.44,6.24,-65.92,-9.06,0.60,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",25270,"Cantine Maschio Sparkling Ro",189,464.94,226.31,150,568.50,4.24,103.56,18.22,0.79,NULL,NULL,NULL,NULL
